lithuanian,danish,2.5,2.2426,5.0292,40
lithuanian,swedish,4.9167,4.1588,17.2955,59
lithuanian,faroese,6.2857,4.0591,16.4762,44
lithuanian,icelandic,2.1818,1.446,2.0909,24
lithuanian,english,3.5,3.8612,14.9091,42
lithuanian,scots,1.4545,0.3015,0.0909,16
lithuanian,frisian,2.4545,1.5551,2.4182,27
lithuanian,german,3.9091,4.0587,16.4727,43
lithuanian,wymysorys,2.2727,1.5551,2.4182,25
lithuanian,luxembourgish,1.4286,0.4688,0.2198,20
lithuanian,greek,3.4,2.1108,4.4556,34
lithuanian,sanskrit,2.3846,1.6408,2.6923,31
lithuanian,awadhi,5.3571,5.711,32.6154,75
lithuanian,hindi,1.8824,0.8618,0.7426,32
lithuanian,nepali,2.0667,1.5675,2.4571,31
lithuanian,romanian,2.5,1.8007,3.2424,30
lithuanian,italian,3.5556,3.855,14.8611,32
lithuanian,ligurian,3.5455,3.5599,12.6727,39
lithuanian,french,2.1333,1.5523,2.4095,32
lithuanian,friulian,3.3333,3.5355,12.5,30
lithuanian,catalan,2.5455,3.2808,10.7636,28
lithuanian,occitan,2.0,1.6193,2.6222,20
lithuanian,mirandese,1.5556,1.0138,1.0278,14
lithuanian,spanish,2.0,1.446,2.0909,22
lithuanian,galician,3.5833,2.6799,7.1818,43
lithuanian,portuguese,1.9091,1.2136,1.4727,21
russian,albanian,2.2,1.2649,1.6,22
russian,armenian,2.5,2.8284,8,25
russian,latgalian,2.2,1.3416,1.8,11
russian,latvian,2.6,2.846,8.1,26
russian,lithuanian,2.875,2.1998,4.8393,23
russian,ukrainian,5.125,5.1669,26.6964,41
russian,bulgarian,1.2,NaN,0,6
russian,macedonian,2.1,1.075,1.1556,21
russian,croatian,2.4444,1.965,3.8611,22
russian,slovene,1.8,1.2649,1.6,18
russian,czech,2.3,1.5776,2.4889,23
russian,slovak,4.0909,4.2039,17.6727,45
russian,polish,4.25,3.6936,13.6429,34
russian,breton,2.3636,2.0494,4.2,26
russian,welsh,1.6154,0.3755,0.141,21
russian,irish,3.2143,3.5703,12.7473,45
russian,norwegian,2.1053,1.3157,1.731,40
russian,danish,3.7143,5.1681,26.7088,52
russian,swedish,2.8333,1.9924,3.9697,34
russian,faroese,2.1111,1.8028,3.25,19
russian,icelandic,1.7778,0.8819,0.7778,16
russian,english,2.8824,3.3365,11.1324,49
russian,scots,1.9167,1.4434,2.0833,23
russian,frisian,1.9333,0.7988,0.6381,29
russian,german,3.1429,3.6253,13.1429,44
russian,wymysorys,2.1818,1.2136,1.4727,24
russian,luxembourgish,1.3846,0.2774,0.0769,18
russian,greek,1.1667,0.0,0,7
russian,sanskrit,4.6923,3.9272,15.4231,61
russian,awadhi,5.1429,6.3803,40.7088,72
russian,hindi,2.0526,1.8369,3.3743,39
russian,nepali,2.7273,2.9108,8.4727,30
russian,romanian,4.5,4.2177,17.7889,45
russian,italian,2.7778,2.2048,4.8611,25
russian,ligurian,1.6,0.6749,0.4556,16
russian,french,2.125,1.0878,1.1833,34
russian,friulian,2.9,1.9551,3.8222,29
russian,catalan,2.1667,1.557,2.4242,26
russian,occitan,2.5455,1.834,3.3636,28
russian,mirandese,2.5,2.8577,8.1667,15
russian,spanish,2.3333,2.3452,5.5,21
russian,galician,3.1667,2.2747,5.1742,38
russian,portuguese,1.9167,1.4434,2.0833,23
ukrainian,albanian,2.1429,1.6036,2.5714,30
ukrainian,armenian,3.1667,3.4761,12.0833,38
ukrainian,latgalian,3.875,4.2003,17.6429,31
ukrainian,latvian,3.7692,4.1324,17.0769,49
ukrainian,lithuanian,5.0,4.7987,23.0278,45
ukrainian,russian,5.125,5.1669,26.6964,41
ukrainian,bulgarian,4.8571,4.4293,19.619,34
ukrainian,macedonian,2.9091,3.5802,12.8182,32
ukrainian,croatian,3.1,3.7178,13.8222,31
ukrainian,slovene,3.2222,3.9721,15.7778,29
ukrainian,czech,2.5833,2.5879,6.697,31
ukrainian,slovak,3.7692,3.9468,15.5769,49
ukrainian,polish,1.5,0.4629,0.2143,12
ukrainian,breton,1.6667,0.5774,0.3333,20
ukrainian,welsh,2.4615,2.4781,6.141,32
ukrainian,irish,2.6364,1.7477,3.0545,29
ukrainian,norwegian,2.375,1.3102,1.7167,38
ukrainian,danish,2.2667,1.8593,3.4571,34
ukrainian,swedish,2.75,1.8516,3.4286,22
ukrainian,faroese,3.0,2.6152,6.8393,24
ukrainian,icelandic,1.8,0.6749,0.4556,18
ukrainian,english,2.1875,1.0935,1.1958,35
ukrainian,scots,2.4,1.3499,1.8222,24
ukrainian,frisian,2.2,1.1212,1.2571,33
ukrainian,german,2.3077,1.3775,1.8974,30
ukrainian,wymysorys,2.3077,1.6641,2.7692,30
ukrainian,luxembourgish,1.5714,0.3631,0.1319,22
ukrainian,greek,3.4286,3.4157,11.6667,24
ukrainian,sanskrit,1.9286,0.9405,0.8846,27
ukrainian,awadhi,2.5333,1.7099,2.9238,38
ukrainian,hindi,1.9412,0.5286,0.2794,33
ukrainian,nepali,1.5556,1.3333,1.7778,14
ukrainian,romanian,3.25,2.0616,4.25,13
ukrainian,italian,3.25,3.704,13.7197,39
ukrainian,ligurian,3.0,3.433,11.7857,42
ukrainian,french,2.3333,1.6529,2.732,42
ukrainian,friulian,3.5,4.0497,16.4,35
ukrainian,catalan,3.3333,3.7009,13.697,40
ukrainian,occitan,2.5556,2.0276,4.1111,23
ukrainian,mirandese,4.2308,4.2713,18.2436,55
ukrainian,spanish,2.6154,2.619,6.859,34
ukrainian,galician,4.4545,4.98,24.8,49
ukrainian,portuguese,3.1,4.111,16.9,31
bulgarian,albanian,2.0909,1.5076,2.2727,23
bulgarian,armenian,2.2727,2.7002,7.2909,25
bulgarian,latgalian,3.2,1.7889,3.2,16
bulgarian,latvian,3.4,3.7947,14.4,34
bulgarian,lithuanian,2.2857,1.8645,3.4762,16
bulgarian,russian,1.2,NaN,0,6
bulgarian,ukrainian,4.8571,4.4293,19.619,34
bulgarian,macedonian,1.8889,0.7265,0.5278,17
bulgarian,croatian,2.375,1.7269,2.9821,19
bulgarian,slovene,1.625,0.7071,0.5,13
bulgarian,czech,2.3,1.567,2.4556,23
bulgarian,slovak,5.2,4.6476,21.6,52
bulgarian,polish,4.0,2.8067,7.8778,40
bulgarian,breton,1.3333,0.0,0,12
