northern qiang,35,2.0455,1.0538,1.1104,45
northern qiang,40,2.1905,1.278,1.6333,46
northern qiang,45,2.1429,1.1212,1.2571,45
northern qiang,50,3.0,2.8014,7.8476,63
northern qiang,55,2.619,2.3974,5.7476,55
northern qiang,60,3.2,2.9629,8.7789,64
northern qiang,65,2.1364,1.0579,1.119,47
northern qiang,70,2.3333,1.9099,3.6476,49
northern qiang,75,2.2,1.0954,1.2,44
northern qiang,80,1.9565,0.9921,0.9842,45
northern qiang,85,2.05,1.0501,1.1026,41
northern qiang,90,2.1364,1.1434,1.3074,47
northern qiang,95,2.0952,1.0305,1.0619,44
ndemli,0,1.1875,0.0,0,19
ndemli,5,2.0,1.2042,1.45,32
ndemli,10,2.2222,1.7573,3.0882,40
ndemli,15,1.8889,0.8498,0.7222,34
ndemli,20,1.6818,0.4289,0.184,37
ndemli,25,1.8333,1.0826,1.1721,44
ndemli,30,1.7143,0.5606,0.3143,36
ndemli,35,2.1,1.4244,2.0289,42
ndemli,40,2.0,0.8826,0.7789,40
ndemli,45,1.6818,0.2942,0.0866,37
ndemli,50,1.6087,0.417,0.1739,37
ndemli,55,1.6364,0.5011,0.2511,36
ndemli,60,1.7273,0.4676,0.2186,38
ndemli,65,1.7273,0.6119,0.3745,38
ndemli,70,2.1429,1.244,1.5476,45
ndemli,75,2.0,0.8477,0.7186,44
ndemli,80,1.85,0.6569,0.4316,37
ndemli,85,1.8636,0.7799,0.6082,41
ndemli,90,1.8,0.5231,0.2737,36
ndemli,95,1.75,0.5316,0.2826,42
xavánte,0,1.2308,0.2774,0.0769,16
xavánte,5,3.0,1.7867,3.1923,39
xavánte,10,2.0714,1.4601,2.1319,29
xavánte,15,2.2143,2.0702,4.2857,31
xavánte,20,1.9286,1.4373,2.0659,27
xavánte,25,2.6667,1.6762,2.8095,40
xavánte,30,2.4375,1.652,2.7292,39
xavánte,35,1.9375,1.5798,2.4958,31
xavánte,40,2.25,1.5706,2.4667,36
xavánte,45,2.3333,1.6242,2.6381,35
xavánte,50,2.25,1.5864,2.5167,36
xavánte,55,3.6154,3.4437,11.859,47
xavánte,60,2.4667,1.6475,2.7143,37
xavánte,65,2.0714,1.6723,2.7967,29
xavánte,70,2.2143,1.6392,2.6868,31
xavánte,75,2.2857,1.7478,3.0549,32
xavánte,80,2.0,1.5796,2.4952,30
xavánte,85,2.3125,1.6279,2.65,37
xavánte,90,2.0,1.1529,1.3292,32
xavánte,95,2.1333,1.2228,1.4952,32
dolakha newar,0,1.6429,1.0818,1.1703,23
dolakha newar,5,2.3077,1.354,1.8333,30
dolakha newar,10,2.5,1.7595,3.0958,40
dolakha newar,15,2.4,1.9074,3.6381,36
dolakha newar,20,2.0625,1.4009,1.9625,33
dolakha newar,25,1.8824,0.7952,0.6324,32
dolakha newar,30,2.5882,1.5624,2.4412,44
dolakha newar,35,2.3125,1.3769,1.8958,37
dolakha newar,40,2.0625,1.2633,1.5958,33
dolakha newar,45,4.0,3.594,12.9167,64
dolakha newar,50,2.375,1.5864,2.5167,38
dolakha newar,55,1.8824,1.2277,1.5074,32
dolakha newar,60,2.2353,1.5363,2.3603,38
dolakha newar,65,3.6667,3.2776,10.7429,55
dolakha newar,70,2.1765,1.3933,1.9412,37
dolakha newar,75,2.1875,1.3022,1.6958,35
dolakha newar,80,2.25,1.2764,1.6292,36
dolakha newar,85,2.4,1.5976,2.5524,36
dolakha newar,90,2.4375,1.5692,2.4625,39
dolakha newar,95,2.3529,1.5765,2.4853,40
